title,author,publish_date,job_summary
The 2024 election cycle is gonna be a pricey one,Marketplace / Kai Ryssdal,"Wed, 27 Dec 2023 23:41:13 +0000","<p>A new report predicts that the 2023-24 U.S. election cycle will be the most expensive ever, with more than $10 billion spent across platforms. We&#8217;ll dig into who&#8217;s providing those funds and how the financial race might unfold. Plus, a word of caution for retailers that hope to extend the holiday shopping season and New Year&#8217;s predictions for streaming services. Plus, will the housing market get slightly less terrible in 2024?</p>"
The inflation blame game,Marketplace / Kai Ryssdal,"Tue, 26 Dec 2023 23:34:39 +0000","<p>After the past couple of inflationary years, some consumers have come to accept that things cost more these days. But now that the inflation rate has come down, when will everything stop being inflation&#8217;s fault? In this episode, how still-high prices affect consumers psychologically. Plus, China&#8217;s property market impacts iron ore prices globally, families drown in toy clutter and next year, the car market could just chill out.</p>"
Eating out is gonna cost you,Marketplace / Kai Ryssdal,"Mon, 25 Dec 2023 21:21:31 +0000","<p>Though overall food inflation has slowed, the latest consumer price index shows the inflation rate for food away from home is higher than that of purchases from the grocery store. What mainly accounts for the gap is the cost of staff. We&#8217;ll talk to restaurant owners about rising wages and how they find a middle ground between bumping up prices and keeping customers happy. Also in this episode, more food stories: How the myth of the American diner came to be, who designs restaurant menus and why your candy canes might have cost more this year.</p>"
"Extra to spend, extra to save",Marketplace / Kai Ryssdal,"Fri, 22 Dec 2023 23:51:46 +0000","<p>Some good news out of today&#8217;s personal consumption expenditures report, which tracked consumer spending in November. Disposable personal income rose, as did the personal savings rate. And some prices fell for the first time since spring 2020. Will consumer sentiment finally catch up to the improving inflation situation? Also in this episode: the wild ride NFTs have taken over the past few years and a debate between affordable housing and wetland restoration in one San Francisco Bay Area town.</p>"
All I want for Christmas is same-day shipping,Marketplace / Kai Ryssdal,"Thu, 21 Dec 2023 23:44:43 +0000","<p>With Christmas Day falling on a Monday, online shoppers are cutting it close if they haven&#8217;t ordered all their gifts yet. As consumers grow accustomed to same-day or next-day shipping from Amazon, Target and Walmart are trying to catch up. But a nationwide network of fulfillment centers isn&#8217;t built in a day. Also in this episode, the state of hunger in the U.S., the rise and fall of rentable e-scooters, and Buc-ee&#8217;s: an embodiment of American excess and efficiency.</p>"
All aboard the Marketplace time machine,Marketplace / Kai Ryssdal,"Wed, 20 Dec 2023 23:09:25 +0000","<p>The beleaguered housing market is showing signs of improvement, but how will things look in 2024? We decided to step into the Marketplace time machine with a few industry experts and report back from this time <em>next</em> year to see how the housing market is shaping up. Plus, McDonald&#8217;s takes on the beverage market, inflation comes for holiday tamale makers, Apple watches and the long history of U.S. patent wars, and political campaigns base their pitches on your personal data.</p>"
Sending money home,Marketplace / Kai Ryssdal,"Tue, 19 Dec 2023 23:13:43 +0000","<p>When workers send money to their home countries, it can have a huge impact on local and national economies. Remittances to low and middle-income countries were up this year, and the U.S. was the biggest source. In this episode, we&#8217;ll get into why migrants and immigrants have been able to send more cash than they used to. Plus, alternative investments take a wild ride during the pandemic, Canada breaks into EV battery production  and 2022 unemployment hit a record low, new data shows.</p>"
Allow us to explain,Marketplace / Kai Ryssdal,"Mon, 18 Dec 2023 23:54:13 +0000","<p>When it comes to economic talk, inflation is a major topic these days. But the word for &#8220;getting inflation to slow down a bit&#8221; isn&#8217;t as well known. In this episode, we&#8217;ll talk to economists who tell us what the difference is between &#8220;disinflation&#8221; and &#8220;deflation&#8221; and why the Federal Reserve is aiming for the former. Plus, we&#8217;ll explain why stock indexes just shuffled their membership, how board games raise money and what the deal is with movie franchises flopping in theaters.</p>"
"On the road to 2%, stay “patient, cautious and resolute”",Marketplace / Kai Ryssdal,"Sat, 16 Dec 2023 00:00:00 +0000","<p>As 2023 comes to a close, some economists would say we&#8217;re ending the year in a better place than they would have predicted in January — inflation has come down quite a bit and the economy is chugging along. But getting all the way back to 2% annual inflation will take persistence. In this episode, Raphael Bostic, president of the Atlanta Federal Reserve Bank, reflects on the economic year we&#8217;ve had. Plus, the psychology behind incremental mortgage rate drops and why the online gift guide business has exploded.</p>"
Can we ever get good news?,Marketplace / Kai Ryssdal,"Fri, 15 Dec 2023 00:02:17 +0000","<p>In the last week, we&#8217;ve seen some solid labor and retail data. Unemployment is low, job availability is high and consumers are spending more than they did last year. But in an economy that&#8217;s hyperfocused on tamping down inflation, what&#8217;s good for workers might not be good for prices. In this episode, what news is good news right now? Plus, flood history disclosure laws catch on, online shopping drives retail growth and developing countries can&#8217;t keep up with their debt.</p>"
What’s the Fed’s word of the year?,Marketplace / Kai Ryssdal,"Wed, 13 Dec 2023 23:54:10 +0000","<p>The Oxford English Dictionary&#8217;s word of 2023 is &#8220;rizz&#8221; — as in charming, skilled at wooing, cha-rizz-matic. Not a concept most people would apply to monetary policy. In this episode, economists weigh in on how the past 12 months have gone for the Federal Reserve&#8217;s mission, in just one word. Plus, car insurance costs more than it used to, solar and wind power may surpass the use of coal in the U.S. next year and a California startup fixes EV charging stations.</p>"
How’s everyone feeling?,Marketplace / Kai Ryssdal,"Tue, 12 Dec 2023 23:41:57 +0000","<p>Tracking how folks feel about the economy is always tricky. Recently, consumer sentiment hasn&#8217;t lined up with the mostly positive data on inflation. And while small-business owners are anxious about sales, they&#8217;re spending on equipment anyway. In this episode, we&#8217;ll look at where those mixed signals might be coming from. Plus, a small-town newspaper makes a big-time change, major retailers pull back on self-checkout and the real estate sales commission model could get thrown out in court.</p>"
Climate-friendly food is a global issue,Marketplace / Kai Ryssdal,"Mon, 11 Dec 2023 23:48:12 +0000","<p>Food chain resiliency is a central topic at COP28 — the U.N.&#8217;s global climate conference. So far, countries have pledged $3 billion to address the issue. In this episode, why agricultural sustainability is in the spotlight and what makes it, in some ways, more complicated than energy decarbonization. Plus, Amazon packages incite chaos in a rural post office, Wyoming has an EV charging station problem and we do some holiday retail check-ins.</p>"
Choo-choo!,Marketplace / Kai Ryssdal,"Fri, 08 Dec 2023 23:37:49 +0000","<p>The Biden administration announced it&#8217;s putting $8 billion toward expanding the U.S. rail system. Travel by train is climate-friendlier than flying or driving, and in parts of Europe and Asia, it&#8217;s commonplace. So why has the U.S. been slower to build high-speed rail? Also in this episode: Amazon Fresh delivery tries out subscriptions, part-time workers find full-time employment and it&#8217;s tricky to predict labor demand for the holiday season.</p>"
"Higher ed got its credit report card, and it’s not straight A’s",Marketplace / Kai Ryssdal,"Thu, 07 Dec 2023 23:46:25 +0000","<p>Fitch Ratings issued a warning this week that U.S. colleges and universities are likely to encounter economic headwinds — bond investors beware. Declining enrollment, higher wages for faculty and staff and 2008 recession-era debt are all at play. In this episode, why some colleges may be affected more than others. Plus, artificial intelligence is already behind the scenes in Hollywood, rent-free housing comes with a cost and an electronic music store bides its time.</p>"
How the podcast bubble burst,Marketplace / Kai Ryssdal,"Wed, 06 Dec 2023 23:34:39 +0000","<p>Podcasting took off in a big way in 2015. But just eight years later, waves of layoffs and cancellations have made the future of the medium uncertain. In this episode, we&#8217;ll explore why podcasts are tricky to monetize, what the future of the industry could look like and how public radio fits into the whole thing — with help from &#8220;On the Media&#8221; correspondent Micah Loewinger. Plus, restaurants shed jobs, the gender gap in science and tech persists and supply chain logistics are stabilizing.</p>"
The ghosts of debt ceilings past,Marketplace / Kai Ryssdal,"Tue, 05 Dec 2023 23:45:50 +0000","<p>Despite all the angst over the national debt limit, extensions and last-minute compromises aren&#8217;t unusual — since 1960, Congress has fought over the debt ceiling 78 times. Although the U.S. has never defaulted, there have been consequences. In this episode, why debt ceiling battles haunt the nation&#8217;s credit rating. Plus, the financial strain on regional theaters across the country, as told by Danny Feldman, head of the Pasadena Playhouse.</p>"
Whaddya mean capital got “more expensive”?,Marketplace / Kai Ryssdal,"Mon, 04 Dec 2023 23:32:12 +0000","<p>Seventeen percent of Spotify employees were laid off today in the company&#8217;s third round of layoffs this year. CEO Daniel Ek says a major reason for staff cuts is that capital has &#8220;become more expensive.&#8221; But how can money suddenly cost more? In this episode, why companies that grew by borrowing a bunch are scaling back in a high-interest-rate environment. Plus, gold isn&#8217;t the stable investment some think it is, 3D-printed houses could aid the affordable housing crisis and going splitsies on dinner is now en vogue.</p>"
Just keep it,Marketplace / Kai Ryssdal,"Fri, 01 Dec 2023 23:39:04 +0000","<p>Over half of major retailers now have a &#8220;return-less&#8221; refund policy — aka, they&#8217;ll pay you to keep not-quite-right items — according to a goTRG report. Returns cost retailers a lot, so why take stuff back? In this episode, big-box stores are adopting this practice (but not necessarily advertising it). Plus, the &#8220;endless shrimp&#8221; offer tanks Red Lobster profit, farmers try to monetize carbon-trapping agricultural methods and the manufacturing sector shrinks.</p>"
The urban-rural wage gap,Marketplace / Kai Ryssdal,"Thu, 30 Nov 2023 23:57:27 +0000","<p>People in cities have, on average, made more money than people in rural parts of America for decades. Now, that disparity seems to be widening. In 2023, urban dwellers are making 23% more than rural ones, compared to 20% more before the pandemic. In this episode, why inflation, telework and higher education all play into the urban-rural wage gap. Plus, more older Americans are still paying off their mortgages, ESG investing goes under the microscope and global markets don&#8217;t quite believe OPEC+.</p>"
An oil exec hosting COP28? Surprise!,Marketplace / Kai Ryssdal,"Wed, 29 Nov 2023 23:52:06 +0000","<p>The United Nations&#8217; climate change conference kicks off tomorrow in Dubai, United Arab Emirates, where tens of thousands of global leaders, experts and activists will discuss how to reduce greenhouse gas emissions. However, the host country&#8217;s main export is fossil fuels and the host of the event is CEO of the Abu Dhabi National Oil Co. In this episode, could conflicting interests stall progress in the transition to renewable energy? Plus, hybrid and electric vehicle sales ramped up while overall consumer spending slowed down in Q3.</p>"
Are we there yet? How about now?,Marketplace / Kai Ryssdal,"Tue, 28 Nov 2023 23:53:07 +0000","<p>We&#8217;ve been talking about making an economic &#8220;soft landing&#8221; for over a year — but how will the Federal Reserve know we&#8217;re there? In this episode, Chicago Fed President Austan Goolsbee tells us what indicators he looks at to gauge inflation trends and why cooling the economy is sorta like cooking a turkey. Plus, we&#8217;ll answer some business world questions: How is the chemicals sector doing after a pandemic boom? Why are corporate profits trending down? What does a board of directors do?</p>"
Global trade may be back on track,Marketplace / Kai Ryssdal,"Mon, 27 Nov 2023 23:24:16 +0000","<p>After a yearlong slump, the World Trade Organization said the volume of global trade in goods is set to rebound in the coming year. Leading the charge will be auto parts and electronic components, the WTO said, particularly because demand for electric vehicles is high. In this episode, what it&#8217;ll take for global trade to return to pre-pandemic levels. Plus, retailers need those holiday discounts to draw customers, utility companies test out geothermal networks and newly built homes drive the homebuying market.</p>"
Shoppers love easy returns. But retailers aren’t sold on ’em.,Marketplace / Kai Ryssdal,"Fri, 24 Nov 2023 22:49:42 +0000","<p>Americans will drop $37 billion online this long holiday shopping weekend, according to Adobe Analytics. A lot of those consumers are counting on free, easy returns if their items don&#8217;t work out, but retailers are unhappy with how much that process costs. In this Black Friday episode, whether stores will ever shrink that return window or go back to charging you for changing your mind. Plus, noisy workplaces, the cookie decoration business and Queen Nefertiti, the original beauty influencer.</p>"
It’s all about that holiday spending,Marketplace / Kai Ryssdal,"Thu, 23 Nov 2023 21:34:40 +0000","<p>It&#8217;s not just you: The holiday shopping season really did start sooner this year. Retailers are competing for consumer dollars with sales and discounts, early and often. Plus, tomorrow is one of retailers&#8217; favorite holidays: Black Friday. But the lines between in-store and online shopping are blurring. Later, we hear about post-breakup splurges and healthier habits for night shift workers.</p>"
